編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
60478,KEC-2782/預備車,20250222,092319,20250222,092806,八德區垃圾車,社區定點,,6260,8630,八德區清潔隊,11,*,0000020512,-1
60479,448-VM,20250222,092542,20250222,093211,八德區清潔隊,社區定點,,7070,8440,八德區清潔隊,12,*,0000020589,-1
60480,905-S5,20250222,093729,20250222,094225,八德區清潔隊,黑包組,,5160,6550,八德區清潔隊,13,,000002051,-1
60481,KEC-2620,20250222,094801,20250222,095418,八德區清潔隊,,,4260,4570,八德區清潔隊,14,*,0000020591,-1
60482,KEK-2002,20250222,100215,20250222,101048,八德區清潔隊,黑包組,,4220,5860,八德區清潔隊,15,*,0000020548,-1
60483,KEK-8618,20250222,101446,20250222,104032,富立達,,木料+棉絮,16730,25480,八德區清潔隊,16,,,-1
60484,KEN-1575,20250222,103941,20250222,110138,富立達,,木料+棉絮,23100,34240,八德區清潔隊,17,,,-1
60485,AAH-856,20250222,113252,20250222,114653,達清,,非允收物,13520,18200,八德區清潔隊,18,,,-1
60486,905-S5,20250222,120036,20250222,120529,八德區清潔隊,黑包組,,5140,6240,八德區清潔隊,19,,0000020516,-1
60487,KEN-1575,20250222,125900,20250222,132049,富立達,,木料+棉絮,23020,33350,八德區清潔隊,20,,,-1
60488,KEK-8618,20250222,130319,20250222,134058,富立達,,木料+棉絮,16730,26690,八德區清潔隊,21,,,-1
60489,KEG-3218,20250222,140415,20250222,140922,八德區垃圾車,壓5,,9310,11190,八德區清潔隊,22,*,0000020506,-1
60490,166-VM/預備車,20250222,140600,20250222,141211,八德區垃圾車,市場車,,6820,8630,八德區清潔隊,23,*,0002756357,-1
60491,KEA-7213,20250222,141231,20250222,142324,八德區清潔隊,市場車,,9380,12200,八德區清潔隊,24,,000002059,-1
60492,KEK-2002,20250222,142714,20250222,143218,八德區清潔隊,黑包組,,4220,4680,八德區清潔隊,25,*,0000020548,-1
60493,AAH-813,20250222,144257,20250222,144740,八德區垃圾車,壓6,,9850,10330,八德區清潔隊,26,,000002050,-1
60494,KEN-1575,20250222,144704,20250222,150943,富立達,,木料+棉絮,22950,35690,八德區清潔隊,27,,,-1
60495,KEK-8618,20250222,151122,20250222,153101,富立達,,木料+棉絮,16690,27510,八德區清潔隊,28,,,-1
60496,KEP-5261,20250222,165125,20250222,165645,八德區垃圾車,壓12,,6530,8700,八德區清潔隊,29,,0000020587,-1
60497,KES-5103,20250222,172940,20250222,173430,八德區垃圾車,壓23,,5220,7200,八德區清潔隊,30,,0000020793,-1
60498,KEP-3821,20250222,175306,20250222,175805,八德區垃圾車,壓11,,7310,10620,八德區清潔隊,31,,0000020794,-1
60499,KEG-3218,20250222,175550,20250222,180120,八德區垃圾車,壓5,,9330,11870,八德區清潔隊,32,,0000020506,-1
60500,KEP-3822,20250222,175734,20250222,180242,八德區垃圾車,壓21,,7320,10550,八德區清潔隊,33,,0000020789,-1
60501,KEJ-6305,20250222,175857,20250222,180412,八德區垃圾車,壓17,,5910,8750,八德區清潔隊,34,,0000020791,-1
60502,165-VM/預備車,20250222,181638,20250222,182034,八德區垃圾車,,,7040,9850,八德區清潔隊,35,,0000020519,-1
60503,KEP-5256,20250222,182203,20250222,182715,八德區垃圾車,壓18,,6480,8760,八德區清潔隊,36,,0000020585,-1
60504,KEE-3861,20250222,183332,20250222,183803,八德區垃圾車,壓8,,5880,8660,八德區清潔隊,37,,0000020509,-1
60505,KEU-1720,20250222,184004,20250222,184455,八德區垃圾車,壓2,,7220,9950,八德區清潔隊,38,,0000048401,-1
60506,KEA-7211,20250222,190727,20250222,191235,八德區垃圾車,壓15,,9600,13130,八德區清潔隊,39,,0000020588,-1
60507,768-S5,20250222,193633,20250222,194149,八德區垃圾車,壓3,,9950,12590,八德區清潔隊,40,,0000020505,-1
60508,KEP-3821,20250222,193759,20250222,194414,八德區垃圾車,壓11,,7280,9030,八德區清潔隊,41,,0000020794,-1
60509,KEJ-6305,20250222,194030,20250222,194509,八德區垃圾車,壓17,,5990,7960,八德區清潔隊,42,,0000020791,-1
60510,165-VM/預備車,20250222,194901,20250222,195314,八德區垃圾車,,,7040,9510,八德區清潔隊,43,,0000020519,-1
60511,KEG-3218,20250222,194928,20250222,195459,八德區垃圾車,壓5,,9280,11710,八德區清潔隊,44,,0000020506,-1
